Datetime,open,high,low,close,Volume,Average Volume
2023-01-02,1.06948,1.07101,1.06494,1.06574,24038,64440.934362934364
2023-01-03,1.06646,1.06831,1.05193,1.05488,103603,64440.934362934364
2023-01-04,1.05467,1.06351,1.05405,1.06035,104029,64440.934362934364
2023-01-05,1.06025,1.06312,1.05147,1.05217,97362,64440.934362934364
2023-01-06,1.05217,1.06478,1.04815,1.06449,97518,64440.934362934364
2023-01-09,1.06401,1.07603,1.06362,1.07324,94043,64440.934362934364
2023-01-10,1.07271,1.0759,1.07119,1.07341,94433,64440.934362934364
2023-01-11,1.07328,1.07761,1.07253,1.07561,78287,64440.934362934364
2023-01-12,1.07515,1.08668,1.07239,1.08506,111525,64440.934362934364
2023-01-13,1.08437,1.08676,1.07801,1.0832,94705,64440.934362934364
2023-01-16,1.08289,1.08738,1.08012,1.08218,66857,64440.934362934364
2023-01-17,1.08207,1.0869,1.07745,1.0788,97297,64440.934362934364
2023-01-18,1.07878,1.0887,1.07658,1.0794,114601,64440.934362934364
2023-01-19,1.07907,1.08397,1.07821,1.08307,93425,64440.934362934364
2023-01-20,1.08272,1.0859,1.0802,1.08548,76565,64440.934362934364
2023-01-23,1.08636,1.09267,1.0846,1.0871,83259,64440.934362934364
2023-01-24,1.08717,1.08976,1.08348,1.0888,71919,64440.934362934364
2023-01-25,1.08862,1.09235,1.08568,1.09148,85167,64440.934362934364
2023-01-26,1.09163,1.09291,1.08502,1.0890900000000001,80042,64440.934362934364
2023-01-27,1.08883,1.09,1.08376,1.0867499999999999,71110,64440.934362934364
2023-01-30,1.08607,1.09135,1.08389,1.08512,77256,64440.934362934364
2023-01-31,1.08476,1.08746,1.08018,1.08615,81285,64440.934362934364
2023-02-01,1.08618,1.10006,1.08519,1.09896,85487,64440.934362934364
2023-02-02,1.09859,1.10328,1.08851,1.09102,104174,64440.934362934364
2023-02-03,1.0909,1.09399,1.07924,1.07932,92188,64440.934362934364
2023-02-06,1.07872,1.07987,1.07091,1.0725500000000001,77263,64440.934362934364
2023-02-07,1.07261,1.07663,1.06687,1.07275,94099,64440.934362934364
2023-02-08,1.07223,1.07605,1.07091,1.07139,70167,64440.934362934364
2023-02-09,1.0712,1.07906,1.07092,1.07379,76206,64440.934362934364
2023-02-10,1.07345,1.07526,1.0666,1.06764,77433,64440.934362934364
2023-02-13,1.06812,1.07297,1.06553,1.07248,63290,64440.934362934364
2023-02-14,1.07199,1.08043,1.07065,1.07353,97525,64440.934362934364
2023-02-15,1.07365,1.07442,1.06603,1.06866,78194,64440.934362934364
2023-02-16,1.06871,1.07221,1.06542,1.06725,81137,64440.934362934364
2023-02-17,1.06706,1.0698,1.06126,1.06938,74219,64440.934362934364
2023-02-20,1.06861,1.07044,1.06701,1.06843,46457,64440.934362934364
2023-02-21,1.06841,1.0698,1.06371,1.06457,80932,64440.934362934364
2023-02-22,1.0647,1.06638,1.05988,1.06046,80186,64440.934362934364
2023-02-23,1.06044,1.06274,1.05768,1.0594,72164,64440.934362934364
2023-02-24,1.05937,1.06141,1.05358,1.05449,81160,64440.934362934364
2023-02-27,1.05447,1.06195,1.05326,1.06087,70870,64440.934362934364
2023-02-28,1.06032,1.06449,1.05738,1.05753,69266,64440.934362934364
2023-03-01,1.05757,1.06912,1.05651,1.06687,85091,64440.934362934364
2023-03-02,1.06678,1.06725,1.05761,1.0597,78541,64440.934362934364
2023-03-03,1.05981,1.06383,1.05882,1.06332,67148,64440.934362934364
2023-03-06,1.06259,1.06941,1.06219,1.06823,68375,64440.934362934364
2023-03-07,1.0674,1.06941,1.05458,1.05489,84241,64440.934362934364
2023-03-08,1.05469,1.05735,1.05241,1.05438,74898,64440.934362934364
2023-03-09,1.0544,1.05909,1.05369,1.05818,66567,64440.934362934364
2023-03-10,1.05777,1.07004,1.05737,1.06381,110495,64440.934362934364
2023-03-13,1.06995,1.0748199999999999,1.06498,1.07277,139826,64440.934362934364
2023-03-14,1.07281,1.07493,1.06785,1.07318,108042,64440.934362934364
2023-03-15,1.07317,1.07595,1.05158,1.05748,119495,64440.934362934364
2023-03-16,1.0578400000000001,1.06353,1.05508,1.06124,113599,64440.934362934364
2023-03-17,1.06117,1.0685,1.06088,1.06641,84307,64440.934362934364
2023-03-20,1.06867,1.07305,1.06311,1.07192,93331,64440.934362934364
2023-03-21,1.07222,1.07882,1.07038,1.07674,67691,64440.934362934364
2023-03-22,1.07688,1.09121,1.07587,1.08581,78993,64440.934362934364
2023-03-23,1.08581,1.09294,1.0824,1.0832600000000001,84077,64440.934362934364
2023-03-24,1.0832600000000001,1.08384,1.07131,1.07591,89182,64440.934362934364
2023-03-27,1.07707,1.07997,1.07445,1.07982,64287,64440.934362934364
2023-03-28,1.07958,1.08483,1.07939,1.08459,61122,64440.934362934364
2023-03-29,1.0842,1.08713,1.08175,1.08441,61022,64440.934362934364
2023-03-30,1.08441,1.0926,1.08233,1.09053,59746,64440.934362934364
2023-03-31,1.0905,1.09254,1.08365,1.08422,63818,64440.934362934364
2023-04-03,1.08408,1.09164,1.0788,1.09023,65922,64440.934362934364
2023-04-04,1.09007,1.09729,1.08826,1.09555,63376,64440.934362934364
2023-04-05,1.09498,1.09692,1.08906,1.0907,60587,64440.934362934364
2023-04-06,1.08991,1.09373,1.08844,1.09206,50492,64440.934362934364
2023-04-07,1.09184,1.09237,1.08757,1.08993,21617,64440.934362934364
2023-04-10,1.08976,1.09169,1.08311,1.08603,39868,64440.934362934364
2023-04-11,1.08602,1.09278,1.08579,1.09128,51673,64440.934362934364
2023-04-12,1.09087,1.1,1.09079,1.0991,57822,64440.934362934364
2023-04-13,1.099,1.10674,1.09766,1.10466,56073,64440.934362934364
2023-04-14,1.10459,1.10754,1.09721,1.09927,59451,64440.934362934364
2023-04-17,1.09903,1.09995,1.09089,1.09272,55334,64440.934362934364
2023-04-18,1.09206,1.09827,1.09198,1.09733,50771,64440.934362934364
2023-04-19,1.09688,1.09839,1.09168,1.09556,57518,64440.934362934364
2023-04-20,1.0954,1.09894,1.09332,1.09703,56263,64440.934362934364
2023-04-21,1.09648,1.09934,1.09378,1.09885,54327,64440.934362934364
