Datetime,open,high,low,close,Volume,Average Volume
2023-01-02,130.821,131.027,130.598,130.621,41968,78944.48648648648
2023-01-03,130.794,131.398,129.504,130.98,113424,78944.48648648648
2023-01-04,131.014,132.714,129.923,132.641,115106,78944.48648648648
2023-01-05,132.508,134.049,131.679,133.421,110072,78944.48648648648
2023-01-06,133.371,134.77,131.992,132.078,115953,78944.48648648648
2023-01-09,131.917,132.652,131.303,131.874,113252,78944.48648648648
2023-01-10,131.745,132.474,131.385,132.236,110603,78944.48648648648
2023-01-11,132.083,132.869,132.061,132.492,93309,78944.48648648648
2023-01-12,132.389,132.478,128.863,129.32,138110,78944.48648648648
2023-01-13,129.194,129.415,127.454,127.835,124056,78944.48648648648
2023-01-16,127.745,128.861,127.213,128.492,85070,78944.48648648648
2023-01-17,128.477,129.152,127.986,128.148,110070,78944.48648648648
2023-01-18,128.097,131.573,127.56,128.901,156243,78944.48648648648
2023-01-19,128.833,128.864,127.756,128.417,106028,78944.48648648648
2023-01-20,128.415,130.608,128.341,129.549,100955,78944.48648648648
2023-01-23,129.476,130.884,129.041,130.677,96866,78944.48648648648
2023-01-24,130.603,131.113,129.723,130.169,88800,78944.48648648648
2023-01-25,130.165,130.58,129.263,129.566,92321,78944.48648648648
2023-01-26,129.566,130.614,129.019,130.216,98562,78944.48648648648
2023-01-27,130.214,130.265,129.495,129.822,92357,78944.48648648648
2023-01-30,129.621,130.565,129.198,130.433,90924,78944.48648648648
2023-01-31,130.422,130.527,129.741,130.098,89155,78944.48648648648
2023-02-01,130.026,130.407,128.539,128.957,102562,78944.48648648648
2023-02-02,128.878,129.122,128.079,128.669,109727,78944.48648648648
2023-02-03,128.634,131.202,128.325,131.169,102344,78944.48648648648
2023-02-06,132.178,132.899,131.508,132.625,105455,78944.48648648648
2023-02-07,132.626,132.707,130.468,131.068,119094,78944.48648648648
2023-02-08,131.054,131.535,130.592,131.441,96993,78944.48648648648
2023-02-09,131.374,131.823,130.338,131.514,104458,78944.48648648648
2023-02-10,131.547,131.882,129.802,131.414,124220,78944.48648648648
2023-02-13,131.331,132.907,131.325,132.389,92948,78944.48648648648
2023-02-14,132.418,133.31,131.51,133.088,124313,78944.48648648648
2023-02-15,133.117,134.356,132.542,134.163,102275,78944.48648648648
2023-02-16,134.134,134.46,133.6,133.939,102673,78944.48648648648
2023-02-17,133.964,135.104,133.907,134.132,91121,78944.48648648648
2023-02-20,134.203,134.534,133.917,134.257,63259,78944.48648648648
