Datetime,open,high,low,close,Volume,Average Volume
2023-01-03,129.91,130.89,124.17,124.93,14681,12588.856
2023-01-04,125.04,128.64,125.04,125.34,14722,12588.856
2023-01-05,126.34,127.69,124.99,125.06,13695,12588.856
2023-01-06,125.04,130.27,124.9,129.79,13000,12588.856
2023-01-09,131.16,133.4,130.16,130.5,14821,12588.856
2023-01-10,130.17,131.19,128.11,130.09,14598,12588.856
2023-01-11,130.7,133.15,130.46,132.92,12773,12588.856
2023-01-12,133.34,134.2,131.46,133.15,13421,12588.856
2023-01-13,133.43,134.91,131.93,134.81,12592,12588.856
2023-01-17,135.19,137.28,134.19,135.74,12467,12588.856
2023-01-18,135.91,138.59,135.32,135.44,14264,12588.856
2023-01-19,135.19,136.24,133.77,135.52,14354,12588.856
2023-01-20,135.19,137.88,134.21,137.46,12358,12588.856
2023-01-23,139.01,143.3,138.96,140.77,13220,12588.856
2023-01-24,141.09,143.13,140.93,142.07,12757,12588.856
2023-01-25,142.57,142.57,138.8,141.6,13381,12588.856
2023-01-26,141.83,144.03,141.83,143.46,12800,12588.856
2023-01-27,143.88,147.21,143.88,146.7,12771,12588.856
2023-01-30,144.68,145.28,142.88,143.4,14061,12588.856
2023-01-31,143.03,144.03,142.3,143.44,13263,12588.856
2023-02-01,144.26,146.59,141.34,146.11,14542,12588.856
2023-02-02,145.36,151.11,145.36,149.65,14997,12588.856
2023-02-03,150.62,157.36,148.98,154.82,16212,12588.856
2023-02-06,152.69,153.09,150.78,151.39,13970,12588.856
2023-02-07,151.7,155.22,151.36,154.26,14630,12588.856
2023-02-08,154.66,154.66,151.15,152.04,15530,12588.856
2023-02-09,151.92,154.23,150.42,150.95,15593,12588.856
2023-02-10,150.82,151.32,149.36,150.8,15198,12588.856
2023-02-13,151.32,154.24,151.01,153.8,12813,12588.856
2023-02-14,153.8,153.8,150.86,153.44,15209,12588.856
2023-02-15,153.22,155.49,153.12,154.83,11975,12588.856
2023-02-16,155.33,156.32,153.67,154.09,13554,12588.856
2023-02-17,153.68,153.68,150.84,152.11,13325,12588.856
2023-02-21,150.42,151.28,148.39,148.62,12171,12588.856
2023-02-22,148.46,149.93,147.17,148.39,14271,12588.856
2023-02-23,148.88,150.05,147.23,149.76,13430,12588.856
2023-02-24,149.36,149.36,145.71,146.01,13958,12588.856
2023-02-27,148.16,149.16,147.44,147.89,13211,12588.856
2023-02-28,148.49,149.07,146.91,148.03,11745,12588.856
2023-03-01,146.71,147.2,144.99,145.44,13169,12588.856
2023-03-02,145.37,146.69,143.89,146.26,12664,12588.856
2023-03-03,145.93,150.96,145.93,150.91,12010,12588.856
2023-03-06,154.17,156.28,153.47,154.09,13192,12588.856
2023-03-07,153.84,154.02,151.12,151.48,14533,12588.856
2023-03-08,151.61,153.46,151.61,152.96,13260,12588.856
2023-03-09,152.85,154.52,150.21,150.86,13604,12588.856
2023-03-10,148.94,150.94,147.62,147.75,14323,12588.856
2023-03-13,149.15,153.03,148.43,151.36,13001,12588.856
2023-03-14,150.46,153.39,150.14,151.29,13480,12588.856
2023-03-15,152.5,153.23,149.91,152.23,15717,12588.856
2023-03-16,152.91,156.36,151.63,156.24,13251,12588.856
2023-03-17,155.83,156.7,154.28,155.02,14484,12588.856
2023-03-20,154.92,157.79,154.15,157.49,13485,12588.856
2023-03-21,157.46,159.22,156.54,159.22,12976,12588.856
2023-03-22,159.32,162.12,159.01,159.72,12563,12588.856
2023-03-23,157.83,161.54,157.68,158.8,13151,12588.856
2023-03-24,158.85,160.05,157.91,160.0,14168,12588.856
2023-03-27,159.7,160.74,157.87,158.71,13142,12588.856
2023-03-28,158.25,158.25,155.97,157.25,12221,12588.856
2023-03-29,157.68,160.9,157.68,160.88,11466,12588.856
2023-03-30,160.78,162.46,160.78,162.1,11354,12588.856
2023-03-31,162.34,164.94,162.24,164.46,10755,12588.856
2023-04-03,165.49,165.98,164.3,165.97,12327,12588.856
2023-04-04,166.13,166.81,165.23,165.27,12262,12588.856
2023-04-05,165.61,165.61,161.79,163.52,9706,12588.856
2023-04-06,163.76,164.94,162.02,164.55,12055,12588.856
2023-04-10,161.5,161.92,160.07,161.75,12818,12588.856
2023-04-11,161.96,162.08,160.5,160.89,11750,12588.856
2023-04-12,160.78,162.04,159.77,160.18,12679,12588.856
2023-04-13,160.1,165.64,160.1,165.6,10762,12588.856
2023-04-14,165.54,166.31,163.84,165.16,12637,12588.856
2023-04-17,165.04,165.35,164.07,165.26,12159,12588.856
2023-04-18,165.24,167.4,165.24,166.5,12318,12588.856
2023-04-19,166.46,168.15,165.81,167.61,10703,12588.856
2023-04-20,167.58,167.86,165.55,165.83,12251,12588.856
2023-04-21,166.65,166.65,164.5,164.81,12001,12588.856
2023-04-24,164.71,165.59,163.88,165.26,10639,12588.856
2023-04-25,165.35,166.29,163.75,163.95,12622,12588.856
2023-04-26,163.83,165.27,163.25,163.47,12812,12588.856
2023-04-27,163.72,168.52,163.72,168.42,9897,12588.856
2023-04-28,168.36,169.84,167.88,169.05,12166,12588.856
2023-05-01,169.42,170.44,168.64,169.5,12401,12588.856
2023-05-02,169.57,170.3,167.53,168.75,13451,12588.856
2023-05-03,168.53,170.9,167.67,167.79,12709,12588.856
2023-05-04,167.43,167.43,164.31,165.95,13403,12588.856
2023-05-05,165.76,174.28,165.76,173.89,11496,12588.856
2023-05-08,173.55,173.84,172.19,173.55,10921,12588.856
2023-05-09,173.5,173.5,171.81,171.93,11466,12588.856
2023-05-10,171.81,173.89,171.81,173.69,12024,12588.856
2023-05-11,173.5,174.55,172.15,173.78,12204,12588.856
2023-05-12,173.72,173.86,170.99,172.33,11882,12588.856
2023-05-15,172.92,173.03,171.48,171.84,11853,12588.856
2023-05-16,172.12,173.12,171.79,172.59,12689,12588.856
2023-05-17,172.1,172.85,170.42,172.61,12179,12588.856
2023-05-18,172.65,174.98,172.57,174.91,12153,12588.856
2023-05-19,175.06,176.28,175.06,175.15,12957,12588.856
2023-05-22,174.37,174.7,173.45,174.23,11640,12588.856
2023-05-23,174.2,174.2,171.27,171.75,12243,12588.856
2023-05-24,171.62,172.41,170.53,172.09,12472,12588.856
2023-05-25,171.86,173.88,171.7,173.77,12643,12588.856
2023-05-26,172.98,175.76,172.98,175.59,11840,12588.856
2023-05-30,177.97,178.94,176.59,177.54,13781,12588.856
2023-05-31,177.27,179.33,177.27,179.11,12747,12588.856
2023-06-01,177.41,180.06,176.92,179.58,13493,12588.856
2023-06-02,180.04,181.4,179.24,180.89,11767,12588.856
2023-06-05,183.44,184.94,178.02,179.08,15452,12588.856
2023-06-06,179.6,179.68,177.42,179.33,13383,12588.856
2023-06-07,179.15,181.19,177.31,177.81,15360,12588.856
2023-06-08,177.82,180.81,177.5,180.74,14058,12588.856
2023-06-09,180.57,182.22,180.57,181.03,13146,12588.856
2023-06-12,181.84,183.51,180.97,183.22,12959,12588.856
2023-06-13,183.8,184.09,182.43,183.05,14387,12588.856
2023-06-14,183.31,184.37,182.04,183.68,13787,12588.856
2023-06-15,183.9,186.5,183.9,186.13,13533,12588.856
2023-06-16,186.01,186.11,184.71,184.93,13960,12588.856
2023-06-20,185.71,186.08,184.5,185.4,13516,12588.856
2023-06-21,185.3,185.39,182.58,184.09,13823,12588.856
2023-06-22,184.62,186.72,184.5,186.55,12821,12588.856
2023-06-23,186.01,187.55,185.0,187.12,13299,12588.856
2023-06-26,186.97,188.03,185.6,185.96,14425,12588.856
2023-06-27,186.25,188.37,186.05,188.24,12052,12588.856
2023-06-28,188.07,189.89,187.6,188.7,13892,12588.856
2023-06-29,189.81,190.03,188.92,189.24,12819,12588.856
2023-06-30,191.68,193.74,191.52,193.65,11591,12588.856
2023-07-03,193.25,193.63,191.76,192.22,6246,12588.856
2023-07-05,192.15,192.96,190.61,191.37,11830,12588.856
2023-07-06,189.72,191.68,189.2,191.54,12296,12588.856
2023-07-07,191.28,192.64,190.24,191.56,11930,12588.856
2023-07-10,189.08,189.5,187.04,188.27,12351,12588.856
2023-07-11,188.59,189.02,186.58,187.46,12298,12588.856
2023-07-12,190.21,191.68,188.46,189.94,11441,12588.856
2023-07-13,190.38,191.18,189.77,190.87,10621,12588.856
2023-07-14,190.31,191.14,189.64,190.41,12759,12588.856
2023-07-17,192.71,194.31,192.14,194.13,10758,12588.856
2023-07-18,192.94,194.15,192.42,194.09,10780,12588.856
2023-07-19,193.03,198.19,192.64,195.22,13487,12588.856
2023-07-20,195.9,196.44,192.49,193.19,13961,12588.856
2023-07-21,194.63,194.94,191.95,192.32,14050,12588.856
2023-07-24,194.44,194.89,192.32,192.43,12007,12588.856
2023-07-25,193.29,194.43,193.08,194.21,10196,12588.856
2023-07-26,193.5,195.62,193.31,194.59,12113,12588.856
2023-07-27,196.86,197.19,192.78,192.95,12627,12588.856
2023-07-28,195.25,196.62,195.05,195.53,13601,12588.856
2023-07-31,195.63,196.48,195.27,196.02,12797,12588.856
2023-08-01,196.37,196.72,195.27,195.78,11512,12588.856
2023-08-02,194.14,194.15,191.84,192.85,12592,12588.856
2023-08-03,191.26,192.36,190.82,191.05,13103,12588.856
2023-08-04,185.0,187.36,182.06,182.22,12781,12588.856
2023-08-07,180.58,181.19,177.37,178.62,14053,12588.856
2023-08-08,178.86,180.13,177.61,179.94,12841,12588.856
2023-08-09,180.25,180.28,177.0,178.75,12661,12588.856
2023-08-10,179.61,180.72,177.59,177.87,13877,12588.856
2023-08-11,177.36,178.61,176.56,178.04,13716,12588.856
2023-08-14,178.21,179.68,177.71,179.12,12583,12588.856
2023-08-15,179.24,179.29,177.05,177.13,12419,12588.856
2023-08-16,177.14,178.51,176.84,177.1,13212,12588.856
2023-08-17,177.25,177.26,173.48,173.86,13961,12588.856
2023-08-18,172.87,174.87,172.33,174.77,13923,12588.856
2023-08-21,174.78,176.11,173.72,176.07,12008,12588.856
2023-08-22,176.49,177.67,176.26,177.14,12360,12588.856
2023-08-23,179.03,181.54,178.66,181.45,10927,12588.856
2023-08-24,179.71,180.26,176.27,176.34,12737,12588.856
2023-08-25,178.0,179.13,175.81,179.08,14997,12588.856
2023-08-28,180.02,180.19,178.56,180.16,12509,12588.856
2023-08-29,180.03,184.87,180.03,184.79,11666,12588.856
2023-08-30,185.38,187.76,184.77,187.46,12837,12588.856
2023-08-31,187.81,189.09,187.49,189.08,12788,12588.856
2023-09-01,189.04,189.48,188.28,189.05,13086,12588.856
2023-09-05,187.72,189.94,187.6,189.92,11633,12588.856
2023-09-06,187.82,187.9,181.46,182.13,12618,12588.856
2023-09-07,175.08,178.15,174.95,177.93,14124,12588.856
2023-09-08,179.26,180.22,177.81,177.99,12675,12588.856
2023-09-11,179.86,179.98,177.34,179.67,11994,12588.856
2023-09-12,179.76,179.84,174.82,175.93,13710,12588.856
2023-09-13,174.77,176.21,174.35,174.87,9467,12588.856
2023-09-14,174.18,176.08,174.12,175.77,11508,12588.856
2023-09-15,175.11,176.03,173.82,174.7,12016,12588.856
2023-09-18,177.98,179.37,176.44,178.09,11735,12588.856
2023-09-19,177.92,179.6,177.13,179.31,11495,12588.856
2023-09-20,178.74,178.87,175.56,175.62,12500,12588.856
2023-09-21,175.57,176.29,174.11,174.39,13243,12588.856
2023-09-22,174.47,177.06,174.05,174.97,12949,12588.856
2023-09-25,174.56,176.94,174.25,175.46,12530,12588.856
2023-09-26,174.42,174.68,171.64,172.25,11841,12588.856
2023-09-27,172.1,172.77,169.05,169.87,12910,12588.856
2023-09-28,168.82,172.01,168.14,170.74,13322,12588.856
2023-09-29,172.02,173.05,170.35,171.01,13447,12588.856
2023-10-02,173.04,174.28,172.52,172.91,14923,12588.856
2023-10-03,172.69,173.62,170.81,172.07,13381,12588.856
2023-10-04,172.14,174.19,171.85,173.95,13970,12588.856
2023-10-05,174.0,175.44,172.67,174.93,13665,12588.856
2023-10-06,174.11,177.98,173.19,177.74,14001,12588.856
2023-10-09,176.2,179.04,175.79,178.82,12717,12588.856
2023-10-10,178.49,179.71,177.94,178.63,11954,12588.856
2023-10-11,178.42,179.46,177.6,179.42,12444,12588.856
2023-10-12,179.94,182.31,179.01,180.44,11578,12588.856
2023-10-13,181.45,181.49,178.12,178.55,14032,12588.856
2023-10-16,178.06,179.04,176.84,178.61,13425,12588.856
2023-10-17,176.19,178.4,174.78,176.48,12652,12588.856
2023-10-18,176.41,177.55,175.56,175.59,13343,12588.856
2023-10-19,176.33,177.81,175.34,175.39,14557,12588.856
2023-10-20,174.79,175.39,172.62,173.14,13739,12588.856
2023-10-23,170.93,173.98,169.99,172.98,13927,12588.856
2023-10-24,172.8,173.65,171.44,173.51,12612,12588.856
2023-10-25,171.21,173.03,170.63,171.08,14068,12588.856
2023-10-26,170.62,171.34,165.69,166.44,14977,12588.856
2023-10-27,167.69,168.93,166.83,167.49,14369,12588.856
2023-10-30,170.02,171.13,169.04,170.16,15090,12588.856
2023-10-31,168.58,170.75,167.88,170.58,12711,12588.856
2023-11-01,170.34,174.1,170.16,173.84,11676,12588.856
2023-11-02,175.92,177.7,175.81,177.3,11578,12588.856
2023-11-03,174.54,176.46,173.76,176.14,12507,12588.856
2023-11-06,177.1,179.41,176.77,178.85,12649,12588.856
2023-11-07,179.01,182.42,179.01,182.09,11435,12588.856
2023-11-08,183.23,183.42,181.57,182.95,12690,12588.856
2023-11-09,183.29,184.09,181.8,181.88,12269,12588.856
2023-11-10,184.17,186.14,183.52,186.1,10569,12588.856
2023-11-13,185.33,185.49,184.18,184.9,10858,12588.856
2023-11-14,186.56,188.08,186.39,187.86,8666,12588.856
2023-11-15,188.56,189.48,187.88,188.17,10449,12588.856
2023-11-16,190.06,190.93,188.7,189.74,12551,12588.856
2023-11-17,189.82,190.1,188.56,189.69,11506,12588.856
2023-11-20,191.37,191.88,190.42,191.83,10891,12588.856
2023-11-21,191.21,191.25,189.73,190.41,10962,12588.856
2023-11-22,192.66,192.9,190.8,191.52,11797,12588.856
2023-11-24,190.49,190.56,189.23,189.63,5559,12588.856
2023-11-27,189.61,190.64,188.88,189.89,10837,12588.856
2023-11-28,190.05,191.05,189.49,189.96,8567,12588.856
2023-11-29,191.78,191.92,188.96,189.38,10927,12588.856
2023-11-30,189.93,189.94,188.19,189.44,10483,12588.856
2023-12-01,189.48,191.52,189.2,191.02,12007,12588.856
2023-12-04,189.64,189.96,187.44,189.41,10881,12588.856
2023-12-05,192.02,194.38,191.99,192.85,12994,12588.856
2023-12-06,193.45,193.74,192.18,192.43,11924,12588.856
2023-12-07,194.37,194.97,193.86,194.08,9466,12588.856
2023-12-08,194.07,195.96,193.64,195.69,11840,12588.856
2023-12-11,192.68,193.39,191.4,192.98,10801,12588.856
