Datetime,open,high,low,close,Volume,Average Volume
2023-01-03,85.82,86.95,84.2,86.03,12933,11931.516
2023-01-04,85.85,86.28,83.42,84.53,13751,11931.516
2023-01-05,85.12,85.12,83.1,83.38,13363,11931.516
2023-01-06,83.12,86.38,81.41,86.24,13379,11931.516
2023-01-09,88.48,89.47,87.35,87.55,13487,11931.516
2023-01-10,87.35,90.16,87.35,89.19,13718,11931.516
2023-01-11,89.86,94.95,89.86,94.91,12787,11931.516
2023-01-12,95.02,96.25,93.52,95.19,14892,11931.516
2023-01-13,95.25,98.37,94.5,98.01,13434,11931.516
2023-01-17,98.1,98.3,95.72,96.12,11359,11931.516
2023-01-18,96.12,99.29,95.41,95.86,13484,11931.516
2023-01-19,95.47,95.47,92.86,93.82,13317,11931.516
2023-01-20,93.64,97.33,93.21,96.99,11111,11931.516
2023-01-23,96.14,97.74,95.9,97.16,13040,11931.516
2023-01-24,97.47,98.08,95.98,96.4,12222,11931.516
2023-01-25,96.32,97.08,91.53,96.73,12966,11931.516
2023-01-26,97.17,99.45,96.91,98.62,13467,11931.516
2023-01-27,99.18,103.47,99.18,102.95,12816,11931.516
2023-01-30,100.49,101.72,99.01,100.71,13572,11931.516
2023-01-31,100.48,103.33,100.48,102.77,13040,11931.516
2023-02-01,103.12,106.22,101.25,105.67,13712,11931.516
2023-02-02,105.12,113.98,105.12,111.76,14855,11931.516
2023-02-03,112.65,112.65,102.66,103.35,14317,11931.516
2023-02-06,102.91,103.35,100.65,101.98,12939,11931.516
2023-02-07,102.09,102.09,98.12,101.87,13502,11931.516
2023-02-08,102.18,102.18,98.76,100.28,14630,11931.516
2023-02-09,100.06,101.76,97.57,98.09,13758,11931.516
2023-02-10,98.25,98.8,96.22,97.54,14766,11931.516
2023-02-13,97.23,99.67,96.91,99.18,13479,11931.516
2023-02-14,99.54,100.9,97.52,99.64,14496,11931.516
2023-02-15,99.67,101.05,98.47,100.75,12590,11931.516
2023-02-16,101.16,101.16,98.34,98.65,14151,11931.516
2023-02-17,98.11,98.11,95.66,96.83,13271,11931.516
2023-02-21,95.2,95.59,94.27,94.84,12767,11931.516
2023-02-22,94.58,96.99,94.58,95.31,14073,11931.516
2023-02-23,95.85,96.36,93.66,96.03,12352,11931.516
2023-02-24,95.8,95.8,92.31,92.66,12569,11931.516
2023-02-27,94.64,94.76,93.13,93.33,10334,11931.516
2023-02-28,93.77,94.68,92.97,94.19,10765,11931.516
2023-03-01,94.1,94.66,91.59,92.17,11746,11931.516
2023-03-02,92.17,92.17,90.39,91.8,10347,11931.516
2023-03-03,92.1,94.89,92.1,94.78,10110,11931.516
2023-03-06,95.43,96.54,93.94,94.06,10839,11931.516
2023-03-07,93.84,95.07,92.79,93.46,12317,11931.516
2023-03-08,93.55,94.15,92.35,93.86,11823,11931.516
2023-03-09,93.92,96.19,92.2,92.52,13125,11931.516
2023-03-10,94.11,94.11,90.43,90.54,13660,11931.516
2023-03-13,89.79,93.99,88.21,93.26,11929,11931.516
2023-03-14,92.41,95.03,92.41,94.06,11603,11931.516
2023-03-15,94.89,96.61,93.06,95.76,14319,11931.516
2023-03-16,96.26,100.98,95.6,99.94,12567,11931.516
2023-03-17,99.92,100.53,97.45,98.86,13008,11931.516
2023-03-20,97.22,97.86,95.69,97.31,12217,11931.516
2023-03-21,97.67,100.76,97.67,100.75,11114,11931.516
2023-03-22,100.61,102.08,99.35,100.19,11623,11931.516
2023-03-23,98.68,101.04,97.61,98.51,11890,11931.516
2023-03-24,98.58,98.58,96.4,98.08,12657,11931.516
2023-03-27,98.92,99.33,97.06,98.31,11537,11931.516
2023-03-28,98.05,98.42,96.28,97.04,11154,11931.516
2023-03-29,97.25,100.33,97.25,100.26,10050,11931.516
2023-03-30,100.21,103.03,100.21,101.96,10684,11931.516
2023-03-31,101.97,103.28,101.97,102.98,9558,11931.516
2023-04-03,102.21,103.28,101.42,102.37,11305,11931.516
2023-04-04,102.41,104.18,102.1,103.72,11808,11931.516
2023-04-05,103.96,103.96,100.93,101.49,8603,11931.516
2023-04-06,101.08,102.18,99.8,102.13,12077,11931.516
2023-04-10,100.15,102.0,99.57,101.75,10206,11931.516
2023-04-11,102.18,102.18,99.0,100.11,9739,11931.516
2023-04-12,99.94,100.42,97.97,98.2,10896,11931.516
2023-04-13,97.8,102.55,97.8,102.36,10539,11931.516
2023-04-14,102.38,103.2,101.11,102.55,12009,11931.516
2023-04-17,103.33,103.72,101.61,102.46,10326,11931.516
2023-04-18,102.72,103.67,101.51,102.15,10873,11931.516
2023-04-19,102.36,105.1,102.15,104.45,11321,11931.516
2023-04-20,104.32,105.23,103.2,103.5,11496,11931.516
2023-04-21,103.83,108.14,103.83,107.17,12713,11931.516
2023-04-24,108.51,109.22,105.07,106.08,10918,11931.516
2023-04-25,106.21,106.21,102.5,102.88,11180,11931.516
2023-04-26,102.57,106.6,102.57,105.08,14011,11931.516
2023-04-27,104.96,110.83,104.96,109.6,11412,11931.516
2023-04-28,109.76,109.76,104.35,105.95,12041,11931.516
2023-05-01,104.42,104.62,101.82,102.17,10572,11931.516
2023-05-02,102.01,103.89,101.71,103.67,11878,11931.516
2023-05-03,103.62,105.94,103.39,103.55,11899,11931.516
2023-05-04,103.64,105.35,103.31,104.15,11511,11931.516
2023-05-05,103.97,105.75,103.56,105.38,10202,11931.516
2023-05-08,105.62,106.09,104.71,105.81,9954,11931.516
2023-05-09,105.81,106.77,105.16,106.44,9946,11931.516
2023-05-10,106.62,110.64,106.62,110.51,12248,11931.516
2023-05-11,110.17,113.27,110.17,112.56,11953,11931.516
2023-05-12,112.14,112.31,109.32,109.86,11601,11931.516
2023-05-15,112.22,112.22,109.24,110.92,10948,11931.516
2023-05-16,111.24,114.78,111.24,113.73,11489,11931.516
2023-05-17,113.4,115.81,113.4,115.58,12158,11931.516
2023-05-18,115.48,118.57,115.48,117.88,11708,11931.516
2023-05-19,118.13,118.2,115.7,116.18,12803,11931.516
2023-05-22,116.21,116.21,114.24,114.99,11380,11931.516
2023-05-23,114.99,117.12,114.06,115.13,11518,11931.516
2023-05-24,114.98,117.31,114.98,116.91,12247,11931.516
2023-05-25,116.76,116.76,114.33,115.2,13024,11931.516
2023-05-26,115.01,121.49,115.01,119.93,12723,11931.516
2023-05-30,122.21,122.6,119.83,121.71,13409,11931.516
2023-05-31,121.65,121.92,119.16,120.42,10723,11931.516
2023-06-01,120.64,123.48,119.99,122.45,12425,11931.516
2023-06-02,122.76,126.17,122.76,124.15,10743,11931.516
2023-06-05,124.33,125.78,123.8,125.0,13984,11931.516
2023-06-06,125.32,127.37,125.32,126.45,11542,11931.516
2023-06-07,126.6,127.32,120.62,120.92,14390,11931.516
2023-06-08,121.23,125.61,121.23,124.14,13236,11931.516
2023-06-09,124.23,125.78,123.18,123.62,14145,11931.516
2023-06-12,123.76,126.76,123.52,126.25,12088,11931.516
2023-06-13,126.61,127.74,125.18,126.45,13695,11931.516
2023-06-14,126.65,126.92,124.1,125.81,12707,11931.516
2023-06-15,126.43,127.67,124.32,127.18,13114,11931.516
2023-06-16,127.1,127.1,125.43,126.47,11855,11931.516
2023-06-20,124.98,127.25,124.69,125.89,11766,11931.516
2023-06-21,126.04,126.7,123.85,124.77,13411,11931.516
2023-06-22,125.87,130.3,125.82,130.07,13249,11931.516
2023-06-23,130.45,130.83,128.27,129.46,12904,11931.516
2023-06-26,130.39,131.45,127.1,127.86,12758,11931.516
2023-06-27,128.59,130.08,127.55,129.34,12343,11931.516
2023-06-28,130.76,131.47,128.43,128.91,13693,11931.516
2023-06-29,128.94,129.23,127.26,127.57,11882,11931.516
2023-06-30,129.2,131.23,128.92,130.34,11331,11931.516
2023-07-03,130.69,131.83,130.52,130.6,5800,11931.516
2023-07-05,130.34,131.37,129.62,130.46,11755,11931.516
2023-07-06,127.81,128.71,127.39,128.35,11748,11931.516
2023-07-07,128.85,130.96,128.4,130.06,11528,11931.516
2023-07-10,128.04,128.24,125.91,126.83,12746,11931.516
2023-07-11,128.19,129.76,127.99,128.51,13532,11931.516
2023-07-12,130.75,131.24,128.83,130.83,12729,11931.516
2023-07-13,134.26,134.58,132.71,134.53,12225,11931.516
2023-07-14,135.23,136.63,134.43,134.49,12697,11931.516
2023-07-17,134.89,135.41,133.21,133.52,10396,11931.516
2023-07-18,131.62,133.85,131.35,133.51,12286,11931.516
2023-07-19,132.75,135.98,132.65,135.68,12309,11931.516
2023-07-20,134.04,134.62,129.32,130.68,12610,11931.516
2023-07-21,130.48,131.04,128.42,129.46,13600,11931.516
2023-07-24,131.43,131.63,128.34,128.88,12181,11931.516
2023-07-25,129.06,129.56,128.53,129.25,11046,11931.516
2023-07-26,126.91,129.06,126.17,128.21,12450,11931.516
2023-07-27,131.53,132.62,128.05,128.31,12759,11931.516
2023-07-28,130.62,132.98,129.98,132.12,12999,11931.516
2023-07-31,133.18,133.86,132.38,133.37,12069,11931.516
2023-08-01,132.89,133.26,131.61,131.8,11368,11931.516
2023-08-02,129.84,129.84,126.81,128.17,12083,11931.516
2023-08-03,126.43,129.83,126.42,128.91,13660,11931.516
2023-08-04,140.58,143.6,139.92,139.99,14524,11931.516
2023-08-07,140.04,142.53,138.98,141.76,13839,11931.516
2023-08-08,140.37,140.58,138.41,139.59,12415,11931.516
2023-08-09,139.53,139.54,137.1,138.26,12087,11931.516
2023-08-10,139.46,140.39,137.48,138.18,13886,11931.516
2023-08-11,138.32,139.3,137.15,138.42,12782,11931.516
2023-08-14,138.38,140.53,137.75,139.97,12974,11931.516
2023-08-15,140.69,141.0,137.22,137.42,12648,11931.516
2023-08-16,136.34,137.25,135.27,135.59,13059,11931.516
2023-08-17,135.56,136.05,133.53,133.9,12903,11931.516
2023-08-18,131.94,133.65,131.5,133.41,13335,11931.516
2023-08-21,133.85,135.19,132.69,134.6,12783,11931.516
2023-08-22,135.34,135.58,133.73,133.84,12329,11931.516
2023-08-23,134.15,135.93,133.21,135.17,11651,11931.516
2023-08-24,135.95,136.04,132.02,132.39,11474,11931.516
2023-08-25,132.68,133.87,130.57,133.52,13904,11931.516
2023-08-28,133.7,133.89,131.84,132.94,11445,11931.516
2023-08-29,134.17,135.13,133.24,135.12,11860,11931.516
2023-08-30,134.81,135.67,133.93,134.93,11012,11931.516
2023-08-31,135.83,138.76,135.66,138.38,12133,11931.516
2023-09-01,139.01,139.08,136.87,137.7,11910,11931.516
2023-09-05,136.5,137.24,135.84,137.21,10678,11931.516
2023-09-06,135.95,137.42,134.6,135.36,12057,11931.516
2023-09-07,133.48,137.83,133.48,137.83,12920,11931.516
2023-09-08,137.52,138.85,136.74,138.01,12522,11931.516
2023-09-11,139.99,143.61,139.4,143.55,12677,11931.516
2023-09-12,142.29,142.97,140.6,141.38,12951,11931.516
2023-09-13,143.97,144.49,143.33,144.23,9233,11931.516
2023-09-14,144.39,145.85,142.98,145.05,12650,11931.516
2023-09-15,143.08,143.31,140.09,140.49,13910,11931.516
2023-09-18,141.22,141.53,139.21,139.43,11608,11931.516
2023-09-19,137.9,138.05,135.56,137.64,12085,11931.516
2023-09-20,138.52,139.34,135.4,135.52,12274,11931.516
2023-09-21,131.41,132.2,129.37,129.59,12716,11931.516
2023-09-22,131.07,132.0,128.51,129.27,12514,11931.516
2023-09-25,129.01,131.77,128.98,130.91,12329,11931.516
2023-09-26,129.79,130.36,125.28,125.64,11367,11931.516
2023-09-27,126.02,127.46,124.14,125.94,11817,11931.516
2023-09-28,124.5,126.58,123.04,126.02,11841,11931.516
2023-09-29,128.06,129.14,126.32,127.22,12106,11931.516
2023-10-02,127.1,130.44,126.99,128.94,13682,11931.516
2023-10-03,128.22,128.3,124.25,124.58,11605,11931.516
2023-10-04,126.4,127.34,125.79,127.11,13099,11931.516
2023-10-05,126.13,126.42,124.35,125.99,12110,11931.516
2023-10-06,124.91,128.37,124.35,128.22,11910,11931.516
2023-10-09,125.19,128.77,124.75,128.14,12289,11931.516
2023-10-10,128.79,130.73,128.42,129.51,11742,11931.516
2023-10-11,130.5,131.71,129.61,131.67,11713,11931.516
2023-10-12,132.85,134.46,131.21,132.18,13830,11931.516
2023-10-13,132.65,132.86,128.94,129.39,11403,11931.516
2023-10-16,130.8,133.05,130.72,132.66,11478,11931.516
