Datetime,open,high,low,close,Volume,Average Volume
2023-01-03,90.36,91.04,88.52,89.29,11217,11141.12
2023-01-04,89.13,89.59,87.27,87.4,12891,11141.12
2023-01-05,88.06,88.06,86.05,86.29,11903,11141.12
2023-01-06,86.17,87.68,84.85,87.59,11905,11141.12
2023-01-09,88.65,90.04,87.93,88.23,11887,11141.12
2023-01-10,88.02,88.66,86.39,88.2,13082,11141.12
2023-01-11,88.39,91.39,88.39,91.33,9396,11141.12
2023-01-12,91.46,91.81,89.74,91.09,13529,11141.12
2023-01-13,91.08,92.15,90.12,91.99,11235,11141.12
2023-01-17,91.21,91.69,90.04,91.46,10790,11141.12
2023-01-18,91.31,92.79,90.63,91.29,10481,11141.12
2023-01-19,91.1,93.59,90.82,93.08,11367,11141.12
2023-01-20,93.04,98.29,93.04,97.81,11012,11141.12
2023-01-23,97.92,100.04,97.66,99.58,11672,11141.12
2023-01-24,99.76,99.76,97.29,97.39,11835,11141.12
2023-01-25,97.67,97.67,93.75,94.85,11253,11141.12
2023-01-26,95.21,97.55,95.21,97.41,11347,11141.12
2023-01-27,97.5,100.31,97.5,99.87,11606,11141.12
2023-01-30,97.01,98.28,96.38,97.06,11303,11141.12
2023-01-31,96.93,98.66,96.93,98.47,11379,11141.12
2023-02-01,98.83,101.17,97.58,100.82,12128,11141.12
2023-02-02,100.43,107.8,100.43,107.28,12655,11141.12
2023-02-03,107.69,107.78,102.59,104.73,13048,11141.12
2023-02-06,103.67,104.11,101.87,102.83,11459,11141.12
2023-02-07,102.95,107.49,102.95,107.44,13719,11141.12
2023-02-08,107.64,107.64,98.03,99.43,13240,11141.12
2023-02-09,99.4,99.4,93.63,94.74,14250,11141.12
2023-02-10,95.06,96.71,94.25,94.6,13389,11141.12
2023-02-13,94.6,95.19,93.84,94.59,10701,11141.12
2023-02-14,94.61,94.78,92.26,94.76,12345,11141.12
2023-02-15,94.67,97.11,94.18,96.43,12380,11141.12
2023-02-16,96.95,97.67,94.76,95.53,11727,11141.12
2023-02-17,95.52,95.52,93.2,94.21,11912,11141.12
2023-02-21,92.79,93.09,91.71,92.03,10169,11141.12
2023-02-22,91.77,92.1,90.61,91.59,11627,11141.12
2023-02-23,91.65,91.76,89.75,91.03,10350,11141.12
2023-02-24,90.87,90.87,88.56,89.05,10957,11141.12
2023-02-27,89.78,90.12,89.33,89.64,9081,11141.12
2023-02-28,89.86,91.22,89.44,90.5,10093,11141.12
2023-03-01,90.09,91.02,89.66,90.3,10405,11141.12
2023-03-02,90.38,92.26,89.7,92.08,10311,11141.12
2023-03-03,92.01,93.69,92.01,93.49,9315,11141.12
2023-03-06,94.53,95.96,94.16,95.29,9071,11141.12
2023-03-07,95.12,95.66,93.53,93.78,9874,11141.12
2023-03-08,93.87,95.81,93.87,94.5,8881,11141.12
2023-03-09,94.24,95.49,91.89,92.48,10947,11141.12
2023-03-10,92.31,92.64,90.39,90.47,12145,11141.12
2023-03-13,90.14,92.5,89.62,91.95,11424,11141.12
2023-03-14,91.08,94.35,91.08,93.38,10117,11141.12
2023-03-15,93.96,96.92,92.63,96.35,13640,11141.12
2023-03-16,96.19,101.17,96.05,100.49,10617,11141.12
2023-03-17,100.29,102.83,100.29,101.3,12422,11141.12
2023-03-20,100.56,101.74,99.89,101.16,9670,11141.12
2023-03-21,101.22,105.08,101.22,104.98,10192,11141.12
2023-03-22,104.85,106.59,103.7,104.94,10692,11141.12
2023-03-23,103.35,106.29,103.35,105.72,10754,11141.12
2023-03-24,105.49,105.49,103.83,105.23,10819,11141.12
2023-03-27,103.96,104.73,101.91,102.85,9735,11141.12
2023-03-28,102.45,102.45,99.76,100.88,9393,11141.12
2023-03-29,100.98,102.1,100.67,101.4,7907,11141.12
2023-03-30,101.33,101.33,99.78,100.95,8533,11141.12
2023-03-31,100.8,103.59,100.8,103.32,8473,11141.12
2023-04-03,102.98,104.06,102.54,103.99,9881,11141.12
2023-04-04,104.39,105.57,104.17,104.41,8923,11141.12
2023-04-05,104.74,105.3,103.65,104.38,7330,11141.12
2023-04-06,104.48,109.15,104.31,108.35,10820,11141.12
2023-04-10,107.44,107.51,105.11,106.42,10158,11141.12
2023-04-11,106.43,106.7,104.74,105.6,9392,11141.12
2023-04-12,105.34,106.66,104.33,104.67,11391,11141.12
2023-04-13,104.64,107.48,104.64,107.42,8590,11141.12
2023-04-14,107.39,108.85,107.13,108.76,9606,11141.12
2023-04-17,105.88,106.15,104.67,106.07,9738,11141.12
2023-04-18,105.94,106.46,104.06,104.39,9308,11141.12
2023-04-19,104.48,104.97,103.06,104.18,8399,11141.12
2023-04-20,104.19,106.24,104.19,105.05,10107,11141.12
2023-04-21,105.29,105.96,104.78,105.12,10428,11141.12
2023-04-24,105.73,106.61,105.02,106.21,8810,11141.12
2023-04-25,105.98,106.69,104.14,104.36,11201,11141.12
2023-04-26,103.89,106.33,102.85,103.56,11201,11141.12
2023-04-27,103.64,108.35,103.64,107.93,10157,11141.12
2023-04-28,107.56,107.56,105.1,107.07,10283,11141.12
2023-05-01,106.91,107.98,106.82,107.12,10333,11141.12
2023-05-02,107.14,107.18,103.71,105.37,10022,11141.12
2023-05-03,105.32,107.46,105.32,105.64,10677,11141.12
2023-05-04,105.39,105.56,103.96,104.88,10147,11141.12
2023-05-05,104.65,105.87,104.11,105.66,10002,11141.12
2023-05-08,105.54,107.82,105.51,107.79,9078,11141.12
2023-05-09,107.75,110.14,107.23,107.42,9306,11141.12
2023-05-10,107.35,112.92,107.35,112.06,12874,11141.12
2023-05-11,111.74,117.9,111.74,116.84,11822,11141.12
2023-05-12,116.59,117.76,116.09,117.65,10817,11141.12
2023-05-15,117.11,118.47,116.5,116.65,11479,11141.12
2023-05-16,116.51,120.74,116.51,120.03,11071,11141.12
2023-05-17,119.5,121.66,118.89,120.86,10247,11141.12
2023-05-18,120.8,123.22,120.8,123.12,10930,11141.12
2023-05-19,122.81,125.94,122.14,122.54,11835,11141.12
2023-05-22,124.85,126.4,124.67,124.9,11556,11141.12
2023-05-23,125.05,125.05,122.22,122.79,10523,11141.12
2023-05-24,122.58,122.58,119.86,121.08,11625,11141.12
2023-05-25,120.89,124.9,120.89,123.72,11563,11141.12
2023-05-26,123.47,125.24,122.77,124.81,10709,11141.12
2023-05-30,123.87,124.5,122.01,123.76,12178,11141.12
2023-05-31,123.66,124.04,122.74,123.49,10269,11141.12
2023-06-01,122.96,124.41,122.63,122.93,10101,11141.12
2023-06-02,123.73,126.14,123.73,124.83,10471,11141.12
2023-06-05,124.65,127.41,124.42,126.21,12093,11141.12
2023-06-06,126.01,128.28,125.37,127.43,11101,11141.12
2023-06-07,127.29,129.03,122.12,122.44,12145,11141.12
2023-06-08,122.52,123.22,121.54,122.22,10987,11141.12
2023-06-09,122.16,123.75,121.91,122.64,11300,11141.12
2023-06-12,122.31,124.03,121.67,123.56,9403,11141.12
2023-06-13,123.65,124.99,123.17,123.58,11652,11141.12
2023-06-14,123.85,124.04,121.49,123.25,12930,11141.12
2023-06-15,123.68,125.4,122.4,125.25,11836,11141.12
2023-06-16,125.11,125.11,123.8,124.2,12121,11141.12
2023-06-20,123.4,124.51,122.13,123.41,10012,11141.12
2023-06-21,122.22,122.45,120.11,120.57,11526,11141.12
2023-06-22,119.78,122.87,119.72,122.86,10435,11141.12
2023-06-23,122.13,122.78,121.06,122.66,10844,11141.12
2023-06-26,120.94,121.98,118.25,118.64,12635,11141.12
2023-06-27,116.85,119.07,116.28,118.35,11728,11141.12
2023-06-28,118.0,120.38,117.61,120.02,12598,11141.12
2023-06-29,119.93,119.96,118.29,118.67,10687,11141.12
2023-06-30,120.42,121.07,119.94,120.1,11554,11141.12
2023-07-03,119.02,120.18,118.85,119.66,5940,11141.12
2023-07-05,119.92,122.6,119.87,121.94,9785,11141.12
2023-07-06,119.19,120.29,118.4,119.98,9592,11141.12
2023-07-07,120.22,121.04,119.71,119.83,11645,11141.12
2023-07-10,117.87,118.23,116.13,116.33,11618,11141.12
2023-07-11,116.08,117.7,116.08,116.98,10770,11141.12
2023-07-12,118.94,120.25,118.4,118.86,10419,11141.12
2023-07-13,121.41,124.82,121.34,124.52,10916,11141.12
2023-07-14,126.15,126.76,124.66,125.31,10935,11141.12
2023-07-17,126.14,127.08,124.19,124.54,10696,11141.12
2023-07-18,123.62,124.4,122.96,123.87,10683,11141.12
2023-07-19,124.05,125.17,121.85,122.43,12413,11141.12
2023-07-20,122.37,124.07,118.22,118.88,11572,11141.12
2023-07-21,120.16,120.94,118.71,119.55,11564,11141.12
2023-07-24,122.67,122.84,121.02,121.29,10558,11141.12
2023-07-25,122.05,123.14,121.0,122.59,11798,11141.12
2023-07-26,129.09,130.96,128.32,129.47,12944,11141.12
2023-07-27,131.5,133.23,128.91,129.01,14912,11141.12
2023-07-28,131.96,133.71,131.52,132.56,12791,11141.12
2023-07-31,132.87,133.37,131.8,132.21,10863,11141.12
2023-08-01,131.61,132.6,131.27,131.76,11065,11141.12
2023-08-02,129.59,130.07,127.56,128.43,11469,11141.12
2023-08-03,127.7,129.37,127.44,128.41,12999,11141.12
2023-08-04,130.52,131.49,127.92,128.08,13112,11141.12
2023-08-07,129.45,131.57,129.05,131.32,13321,11141.12
2023-08-08,130.69,131.5,129.54,131.27,12957,11141.12
2023-08-09,131.73,131.79,129.0,130.19,11818,11141.12
2023-08-10,131.17,132.03,129.44,129.67,14175,11141.12
2023-08-11,128.43,129.91,128.16,129.74,13208,11141.12
2023-08-14,129.41,131.33,129.14,131.04,13384,11141.12
2023-08-15,131.1,131.33,129.28,129.4,11907,11141.12
2023-08-16,128.67,130.28,127.85,128.87,12729,11141.12
2023-08-17,130.07,131.98,129.28,129.76,13478,11141.12
2023-08-18,128.51,128.55,126.38,127.39,13138,11141.12
2023-08-21,127.78,128.72,126.57,128.52,11648,11141.12
2023-08-22,128.68,130.27,128.43,128.75,12810,11141.12
2023-08-23,131.49,133.4,131.18,132.86,10712,11141.12
2023-08-24,132.79,132.96,130.16,130.31,11464,11141.12
2023-08-25,128.92,130.73,127.25,130.02,13876,11141.12
2023-08-28,131.77,132.51,130.13,131.02,11819,11141.12
2023-08-29,133.44,136.56,132.49,134.88,11615,11141.12
2023-08-30,135.11,136.27,134.07,135.74,9936,11141.12
